Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_1::mode_z,100.0,0.5,3.6681,3,0.1595,409.3443,1,0.1091,0.1901,1,0.1111,0.9825,1,0.0808,1.2156,1,0.0819,182.4798,5,0.0808,-0.0052,1,0.0819,1.0026,1,0.0819,7.9961,1,0.1324,0.0916,5.0,0.0808
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,mode_shape_2::mode_x,100.0,0.5,1.4417,1,0.1478,834.9878,4,0.1415,0.2201,3,0.0853,0.9438,4,0.0801,1.2666,4,0.0801,149.8831,2,0.0801,-0.1759,4,0.0801,1.0844,4,0.0801,13.3558,1,0.1446,0.4143,2.0,0.0801
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_2::mode_y,100.0,0.45,3.6681,3,0.1694,413.0404,2,0.1375,0.1919,1,0.0922,0.6516,1,0.0837,1.1216,1,0.0837,163.9158,5,0.0922,-0.0226,1,0.0837,1.0112,1,0.0837,25.6307,1,0.0899,0.2758,5.0,0.0837
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_2::mode_z,100.0,0.5,3.6681,3,0.1476,413.0404,2,0.1201,0.1919,1,0.0998,0.9005,1,0.0864,1.2139,1,0.0864,148.8371,4,0.092,-0.0795,1,0.0864,1.039,1,0.0864,7.7117,1,0.1074,0.2758,5.0,0.0875
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,torsion::disp_x,100.0,0.5,3.7788,4,0.1086,732.9015,2,0.2172,0.2167,2,0.1861,0.1404,2,0.0686,0.2864,2,0.0686,61.169,3,0.0686,0.9365,2,0.0686,0.252,2,0.0686,5.7222,2,0.0686,0.9612,1.0,0.0766
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::disp_y,100.0,0.5,1.4418,1,0.1511,1152.8183,4,0.1467,0.2404,3,0.2168,0.1536,2,0.0683,0.3126,2,0.0683,57.2462,2,0.0683,0.9169,2,0.0683,0.2882,2,0.0683,6.9277,1,0.0756,0.9545,2.0,0.0683
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,torsion::disp_z,100.0,0.5,3.7788,4,0.1336,732.9015,2,0.1705,0.2167,2,0.2247,0.1873,1,0.0677,0.3438,2,0.0668,67.1037,1,0.0677,0.9115,2,0.0668,0.2976,2,0.0668,5.2361,1,0.0677,0.9612,1.0,0.0677
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,torsion::stress,100.0,0.5,3.7788,4,0.1249,732.9015,2,0.1999,0.2167,2,0.1999,0.3561,2,0.0769,0.6247,2,0.0769,100.4702,2,0.0769,0.6951,2,0.0769,0.5521,2,0.0769,21.2249,5,0.0909,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,vertical::disp_x,100.0,0.5,3.7788,4,0.1465,704.3731,2,0.2197,0.2238,1,0.1034,0.2111,2,0.0703,0.3535,1,0.0722,47.4333,3,0.0894,0.9085,1,0.0722,0.301,1,0.0722,6.0002,1,0.0837,0.9126,2.0,0.0703
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,vertical::disp_y,100.0,0.5,3.7788,4,0.1455,704.3731,2,0.2214,0.2238,1,0.1061,0.2699,1,0.0707,0.4822,1,0.0707,78.2599,2,0.0894,0.8152,1,0.0707,0.4299,1,0.0707,8.8476,3,0.0849,0.9126,2.0,0.0698
