Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),IS ↑,FID ↓,MS-SSIM ↓,LPIPS ↑,PSNR ↑,Precision ↑,Recall ↑,Density ↑,Coverage ↑
wgan_cp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Small,50.0,262.7731,0.0246,1.1398,345.1474,0.9704,0.0441,7.5351,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Medium,100.0,386.4263,0.0061,1.0077,319.2504,0.9975,0.0056,6.2667,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Large,200.0,520.0878,0.0692,1.0544,335.0043,0.7228,0.1826,7.3702,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Extra Large,500.0,257.1881,0.0224,1.0471,321.4557,0.9797,0.027,7.0717,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Small,50.0,230.2346,0.0059,1.2463,304.2406,0.8441,0.1382,13.0241,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Medium,100.0,289.4447,0.0093,1.272,324.4308,0.8252,0.1406,13.1852,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Large,200.0,235.5739,0.0048,1.0735,317.7654,0.9817,0.0253,12.9698,0.0,0.0,0.0,0.0
wgan_cp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Extra Large,500.0,260.9057,0.0035,1.0652,354.431,0.995,0.0102,12.2944,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Small,50.0,109.4243,0.0019,1.3666,214.6276,0.7992,0.0895,20.9695,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Medium,100.0,121.8181,0.0017,1.3023,139.3249,0.7906,0.1122,20.8525,0.002,0.0,0.0004,0.002
wgan_gp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Large,200.0,129.772,0.0015,1.3554,91.8989,0.7784,0.1179,20.7232,0.002,0.0,0.0004,0.002
wgan_gp,dimension_2d,generation,23.9471,128x128,deepjeb_2d_2d,Extra Large,500.0,161.5093,0.001,1.4261,57.9123,0.7831,0.1224,20.7092,0.098,0.008,0.0272,0.06
wgan_gp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Small,50.0,19.1354,0.0062,1.117,352.7759,0.9534,0.0491,9.7263,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Medium,100.0,346.319,0.0008,1.5784,306.181,0.4102,0.207,9.7758,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Large,200.0,685.8653,0.0068,1.7294,230.8789,0.3999,0.2156,9.7484,0.002,0.0,0.0004,0.002
wgan_gp,dimension_2d,generation,23.9471,128x128,deepwheel_2d_2d,Extra Large,500.0,1052.2072,0.0006,1.8616,174.7816,0.3666,0.2343,9.7248,0.012,0.0,0.0024,0.004
wgan_gp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Small,50.0,57.4152,0.0008,1.5002,317.4948,0.6303,0.2505,12.1181,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Medium,100.0,107.6207,0.0018,3.1782,313.0956,0.614,0.264,12.336,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Large,200.0,125.5526,0.0015,3.2098,279.9923,0.5826,0.2593,12.0921,0.0,0.0,0.0,0.0
wgan_gp,dimension_2d,generation,23.9471,128x128,drivaernet_2d_2d,Extra Large,500.0,168.3877,0.0013,2.9238,214.5044,0.6009,0.2499,12.0856,0.0,0.0,0.0,0.0
